abstract,label
"A high risk of morbidity-mortality caused by a harsh and unpredictable environment is considered to be associated with a fast life history (LH) strategy, commonly linked with criminal behavior. However, offenders are not the only group with a high exposure to extrinsic morbidity-mortality. In the present study, we investigated the LH strategies employed by two groups of Polish men: incarcerated offenders (N??=??84) as well as soldiers and firefighters (N??=??117), whose professions involve an elevated risk of injury and premature death. The subjects were asked to complete the Mini-K (used as a psychosocial LH indicator) and a questionnaire which included a number of biodemographic LH variables. Although biodemographic and psychosocial LH indicators should be closely linked with each other, the actual connection between them is unclear. Thus, this study was driven by two aims: comparing LH strategies in two groups of men with a high risk of premature morbidity-mortality and investigating the relationship between the biodemographic and psychosocial LH dimensions. The study showed that incarcerated men employed faster LH strategies than soldiers and firefighters, but only in relation to biodemographic variables (e.g., number of siblings, age of sexual initiation, life expectancy). No intergroup differences emerged regarding psychosocial LH indicators. Moreover, the correlation analysis showed a weak association between biodemographic and psychosocial LH indicators. The results strengthen the legitimacy of incorporating biodemographic LH traits into research models and indicate the need for further research on the accuracy of the Mini-K. The possible explanations for the intergroup differences in LH strategies are discussed.",non-battery
"Asymmetric supercapacitors (ASCs) have played a leading role in realizing energy storage devices with high energy and power densities. While both anode and cathode materials are important for high performance ASCs, more research effort has been devoted to developing cathode materials because the energy source of an ASC is mostly attributed to the cathode. However, the development of anode materials is essential in order to achieve high power density as well as stable long-term cycle life of ASCs. In this study, functionalized graphene aerogel (GA) decorated with palladium (Pd) nanoparticles is used as an efficient ASC anode material. The high surface area (328m2 g???1) and low electrical resistivity (50 times lower than one without Pd) of the GA composite grants a high specific capacitance (175.8Fg???1 at 5mVs???1), excllent rate capability (48.3% retention after a 10 fold increase of scan rate), and remarkable reversibility. ASCs assembled from manganese dioxide (cathode) and GA composite (anode) show stable extended cell voltage, fast charge??discharge capability, excellent cycle stability (89.6% retention after 3000 cycles), and high energy and power densities (average of 13.9Whkg???1 and 13.3kWkg???1). These results demonstrate the great potential of the GA composite as an efficient anode material for high performance energy storage devices.",battery
"Polyvinyl alcohol (PVA) was used as a hydrogen bond functionalizing agent to modify multi-walled carbon nanotubes (CNTs). Nanoparticles of Fe3O4 were then formed along the sidewalls of the as-modified CNTs by the chemical coprecipitation of Fe2+ and Fe3+ in the presence of CNTs in an alkaline solution. The structure and electrochemical performance of the Fe3O4/CNTs nanocomposite electrodes have been investigated in detail. Electrochemical tests indicated that at the 145th cycle, the CNTs??66.7wt.%Fe3O4 nanocomposite electrode can deliver a high discharge capacity of 656mAhg???1 and stable cyclic retention. The improvement of reversible capacity and cyclic performance of the Fe3O4/CNTs nanocomposite could be attributed to the nanosized Fe3O4 particles and the network of CNTs.",battery
" Pathogen-induced defoliation resulted in a reduction in transpiration, an upregulation of photosynthesis in the early growing season, and no change in NSC reserves across stem, root, and foliar tissues.",non-battery
"Nanosized cryptomelane manganese dioxide (MDO) and its SnO2-coated product were prepared through a redox reaction between KMnO4 and Mn(II) acetate. XRD analysis showed the cryptomelane-type structure for both materials. Chemical analysis detected the presence of K in parent and K and Sn in coated oxide. The coating was evidenced by TEM images, which display a thin layer of SnO2 at the surface of nanosized MnO2 particles. Vibrational spectroscopic measurements confirmed the integrity of the MnO2 lattice. The net effect of the SnO2 coating results in better electrochemical performance of the Li//MnO2 cells.",battery
"The state of health (SOH) and remaining useful lifetime (RUL) estimation are important parameters for battery health forecasting as they reflect the health condition of battery and provide a basis for battery replacement. This study proposes a novel on-line synthesis method based on the fusion of partial incremental capacity and artificial neural network (ANN) to estimate SOH and RUL under constant current discharge. Firstly, the advanced filter methods are applied to smooth the initial incremental capacity curves. Then the strong correlation feature values are extracted from the partial incremental curves by using correlation analysis methods. Finally, two ANN models aiming at estimating SOH and RUL are established to estimate the SOH and RUL simultaneously. The training and verification results indicate that the proposed method has highly reliability and accuracy for SOH and RUL estimation.",battery
"Mitrovica, northern Kosovo, is the site of some of the highest Pb concentrations reported in human populations; exemplified by Pb concentrations in scalp hair of up to 130 ??g g???1 and widely-publicized of Pb-related ill-health and mortality amongst internally displaced populations. High human Pb burdens are accompanied by elevated concentrations of potentially harmful elements (PHEs) in soils and house dust within the city, which has a long history of mining and metallurgy. In this study enrichment-levels for PHEs in soils are quantified and compared to environmental quality guidelines and a statistically-derived estimation of background concentration. In addition, Pb isotopes (207Pb/206Pb, 208Pb/206Pb) are used to characterise the isotopic signatures of potential point sources of Pb and a mixing model employed to quantify the contribution of sources to Pb present in soils, house dust, and the scalp hair of children and young people. Pb isotopic evidence suggests that Pb in surface soils and house-dust is predominantly sourced from historical deposition of Pb-containing aerosols from metal smelting, with lower contributions from wind-blown dispersal of metalliferous waste. Pb present in scalp hair is interpreted as the result of non-occupational exposure and the ingestion and/or inhalation of Pb-enriched surface soil and house dust. This study represents one of the very few instances where this type of geochemical tracing technique has been successfully applied to definitively identify the source of Pb present within biological samples. The results of this study are of particular relevance to environmental management and highlight the human health risk posed by the legacy of now inactive mining and metallurgy in addition to the challenge posed in mitigating the risk posed by diffuse soil pollution.",non-battery
"This paper deals with design of hybrid energy system consisting of wind and photovoltaic with battery storage. A diesel generator is added to ensure continuous power supply and to take care of intermittent nature of wind and photovoltaic. The paper reports results of the technical??economic optimization study of photovoltaic/wind/diesel hybrid with battery storage in Algeria. The primary objective of this study is to estimate the appropriate dimension of stand-alone hybrid photovoltaic/wind/diesel with battery storage that guarantee the energy autonomy of typical remote consumer with lowest cost of energy. A secondary aim is to study the impact of renewable energy potential quality on the system size. The optimum dimensions of the system are defined for six sites in Algeria. In this context, a complete sizing model is developed in Matlab/Simulink V.6.5, able to predict the optimum system configuration. The simulation results indicate that the hybrid system is the best option for all the sites considered in this study. Thus, it provides higher system performance than photovoltaic or wind alone. It s shown that the principal advantage of photovoltaic/wind/diesel hybrid with battery storage are used all together, the reliability of the system is enhanced. The economic analysis has resulted in the calculation of kWh cost of energy for different types of resources and optimized cost of hybrid energy system. It s revealed too that the energy cost depends largely on the renewable energy potential quality. So, our objective for the optimization parameters is not the production cost but the offered service.",battery
"In this work an experimental setup for in-operando temperature measurements across the interfaces anode ?? separator/electrolyte ?? cathode of a lithium-ion battery cell is developed to get a better understanding of the heat generating mechanisms. The results show differences in the heat evolution rates of the anode, the separator and the cathode according to the electrochemical reactions, the state of charge, the overvoltage and the electric current density. The LiCoO2 cathode was identified as the most decisive component for the heat evolution in the investigated battery stack. Changes of the ohmic resistance and the entropy of LiCoO2 with the state of charge were reflected by the temperature measurements.",battery
"Patient safety has been regarded as the most important quality policy of hospital management. The medicine dispensing definitely plays an influential role in the Joint Commission International Accreditation Standards. The problem we are going to discuss in this paper is that the function of detecting mistakes does not exist in the Automatic Tablets packaging machine (ATPM) in the hospital pharmacy department when the pharmacists implement the replenishment of cassettes. In this situation, there are higher possibilities of placing the wrong cassettes back to the wrong positions, so that the human errors will lead to a crucial impact on total inpatients undoubtedly. Therefore, this study aims to design the RFID (Radio frequency identification) position based system (PBS) for the ATPM with passive high frequency (HF) model. At first, we placed the HF tags on each cassette and installed the HF readers on the cabinets for each position. Then, the system works on the reading loop to verify ID numbers and positions on each cassette. Next, the system would detect whether the orbit opens or not and controls the readers?? working power consumption for drug storage temperature. Finally, we use the RFID PBS of the ATPM to achieve the goal of avoiding the medication errors at any time for patient safety.",non-battery
"This 2-wave longitudinal study aimed (1) to investigate whether high resting RSA predicted adolescents?? lower externalizing behavior and higher empathic concern, and (2) to address the potential moderating role of resting RSA in the association between parent-adolescent relationship quality and adolescents?? externalizing behavior and empathic concern. In a sample of 379 adolescents (212 boys, 167 girls), resting RSA was assessed during a laboratory session, and adolescents reported on parental support, negative interaction with parents, empathic concern and externalizing behavior during a home visit. We found no support for high resting RSA predicting low externalizing behavior or high empathic concern. However, in line with our hypotheses, we did find several instances of RSA functioning as a moderator, although the interaction patterns varied. First, negative interaction with parents was a negative predictor of externalizing behavior for girls low in resting RSA, whereas the association was non-significant for girls with high RSA. Second, higher negative interaction with parents predicted lower empathic concern for boys high in resting RSA, whereas the association was reversed for boys with low resting RSA. Third, parental support was a positive predictor of empathic concern for girls high in resting RSA, whereas the association was non-significant for girls low in resting RSA. The findings suggest that adolescents with different levels of resting RSA respond differentially to relationship quality with parents.
",non-battery
"This study investigated the effects of phonologic treatment for anomia in aphasia. We proposed that if treatment were directed at the level of the phonologic processor, opportunities for naming via a phonological route, as opposed to a strictly whole word route, would be enhanced, thereby improving naming. The participants, ten people with anomia and aphasia due to left hemisphere stroke, received 96h of phoneme based treatment in 12 weeks. To learn if treatment improved naming, a single-subject, repeated probe design with replication was employed. The primary outcome measure was confrontation naming. Secondary outcome measures included phonologic production, nonword repetition and discourse production. Results suggest a positive treatment effect (confrontation naming), improvements in phonologic production and nonword repetition, and generalization to discourse production. When tested 3 months after the completion of treatment the effects appeared to be maintained.",non-battery
"The article summarizes the results of the program post mortem and also describes team interplay on a recently completed work in a company. This development phase was meant to ensure building a safe product. It was phase 2 of a 4-phase New Product Development (NPD) program for a complex small programmable, electro-mechanical-chemical device. This phase was initiated following the failure of phase 1 of NPD as it ended with the product failing and an individual sustaining some injuries. Phase 1 dealt with proof of concept, essentially trying to prove the theory behind air bursting technology. The Product Development Team (PDT) compared what was planned with what actually happened. An analysis was then carried out for the project??s successes as well as the mistakes that were made. The PDT suggested ideas for improvements that could be incorporated during phase 3 (engineering development of the product) of this program. A number of lessons learned from phase 2 (that is, affirmation of product safety) would benefit future phases (phases 3 and 4) and also other new product development initiatives in terms of realizing significant time and cost savings. Phase 4 deals with low rate initial production.",non-battery
"Contact bioassays are important for testing the ecotoxicity of solid materials. However, survival and reproduction tests are often not practical due to their duration which may last for several weeks. Avoidance tests with soil invertebrates may offer an alternative or extension to the classic test batteries due to their short duration (days rather than weeks) and due to a sensitive sub-acute endpoint (behavior). The aims of our study were: (a) to evaluate the effects of three solid industrial wastes (incineration ash, contaminated wood chips and contaminated soil) on three Oligochaeta species (enchytraeids Enchytraeus albidus, Enchytraeus crypticus and earthworm Eisenia fetida) in avoidance tests; (b) to compare the sensitivity among the species and to compare results of avoidance test to reproduction tests; (c) to elucidate if measuring the weight in the earthworm avoidance test could be reasonable additional endpoint. Avoidance mostly increased with the increasing percent of waste in the mixture showing a dose??response curve. E. fetida was the most sensitive species and E. crypticus the least one. An additional endpoint, (changes in weight after two-day exposure) was not found to be more sensitive than avoidance reaction, but it confirmed that earthworms staying in the highest concentrations of the waste mixture were affected showing apparent weight reduction. Our results indicate that avoidance tests with earthworms and enchytraeids are feasible for waste testing.",non-battery
"Single-cell genetic screens can be incredibly powerful, but current high-throughput platforms do not track dynamic processes, and even for non-dynamic properties they struggle to separate mutants of interest from phenotypic outliers of the wild-type population. Here we introduce SIFT, single-cell isolation following time-lapse imaging, to address these limitations. After imaging and tracking individual bacteria for tens of consecutive generations under tightly controlled growth conditions, cells of interest are isolated and propagated for downstream analysis, free of contamination and without genetic or physiological perturbations. This platform can characterize tens of thousands of cell lineages per day, making it possible to accurately screen complex phenotypes without the need for barcoding or genetic modifications. We applied SIFT to identify a set of ultraprecise synthetic gene oscillators, with circuit variants spanning a 30-fold range of average periods. This revealed novel design principles in synthetic biology and demonstrated the power of SIFT to reliably screen diverse dynamic phenotypes.",non-battery
"An all-solid state symmetric monolithic sodium ion battery operating at 200 ??C is described, using NASICON-type electrodes and electrolyte. Na3V2(PO4)3 is used at both electrodes as the active material while Na3Zr2Si2PO12 stands the role of the Na+ solid electrolyte. Both compositions present order-disorder phase transitions and present decent ionic conductivity properties, 1.5 ?? 10???3 S cm???1 and 1.9 ?? 10???4 S cm???1 at 200 ??C for Na3Zr2Si2PO12 and Na3V2(PO4)3, respectively. The full battery (560 ??m in thickness) was assembled in a 10?? single step by spark plasma sintering at 900 ??C. The electrochemical characteristics at high temperature (200 ??C) were evaluated thanks to a new experimental set-up. The battery operates at 1.8 V with 85% of the theoretical capacity attained at C/10 with satisfactory capacity retention, for an overall energy density of 1.87 ?? 10???3 W h cm???2 and a capacity of 1.04 mA h cm???2.",battery
"Introduction Impairment of cerebrovascular function becomes evident after menopause. No study has yet explored relationships between deficits in cerebrovascular function, cognitive performance, and mood in postmenopausal women. Method Cerebrovascular function was assessed in 80 healthy postmenopausal women by monitoring blood flow velocity (BFV) in the middle and posterior cerebral arteries using transcranial Doppler ultrasound at rest, following a hypercapnic challenge, and during performance of a cognitive test battery; the latter assessed domains of memory and executive functions. Various measures of mood (i.e., Profile of Mood States and Center for Epidemiological Studies Depression Scale) were also assessed. Results Cerebral artery elasticity and BFV responsiveness to cognitive tests (neurovascular coupling) correlated with cognitive performance but not with depressive symptoms or mood states. Mood deficits were related to poor cognitive performance. Conclusion These results highlight the importance of adequate cerebral perfusion for optimized cognitive function in healthy postmenopausal women. Preventative strategies to attenuate accelerated cognitive decline should also consider restoring cerebrovascular function.",non-battery
"The development of high-performance and cost-effective electrodes for oxygen evolution and oxygen reduction is critical for enabling the use of energy storage devices based on O2??H2O chemistries such as metal??air batteries and unitized regenerative fuel cells (URFCs). Herein, we report a precious-metal-free and carbon-free O2 electrode synthesized via electrodeposition of manganese oxide (MnOx) on a stainless steel (SS) substrate followed by high-temperature calcination at 480 ??C. The MnOx??SS electrode displays high oxygen reduction and water oxidation activities when tested in an electrochemical cell, comparable to that of a precious-metal based electrode, Pt/C??SS. Accelerated durability testing reveals the excellent stability of the MnOx??SS electrode compared to both the Pt/C??SS electrode and a carbon-based electrode with MnOx and Ni catalysts. This can be rationalized by the carbon-free nature of the MnOx??SS electrode which circumvents carbon corrosion at the high electrochemical potentials during water oxidation and O2 reduction. Integrating the MnOx??SS electrode as the O2 electrode into an anion exchange membrane (AEM) URFC produces round-trip efficiencies of 42??45% at 20 mA cm???2 over 10 cycles, and exhibits significantly enhanced durability compared to the carbon-based analogue. This work demonstrates the MnOx??SS electrode's potential for use as a high performance, scalable, precious-metal-free and carbon-free O2 electrode in AEM-URFCs and metal??air batteries.
",battery
" Mental disorders (MD), such as depression, anxiety, and cognitive impairment, are highly prevalent in patients with coronary heart disease (CHD). Current guidelines on cardiovascular diseases recommend screening and appropriate treatment of MD; however, the degree of implementation of such recommendations in clinical practice is unknown. This study aims to analyze the quality of health care of patients with CHD and MD. Specifically, we aim to analyze (1) the quality of care, (2) trajectories of care, and (3) barriers regarding the detection and treatment of MD. Moreover, we want to identify potentials of changes in health care delivery towards more patient-centered care. The results of this study shall be the first step towards value-based care of people with CHD and comorbid mental disorders.",non-battery
"The electrochemical polymerization of 2-aminobenzene sulfonic acid, also called ortanilic acid (o-ASA), on a gold electrode precoated with polyaniline (PANI), has been carried out. We proved that the electropolymerization of o-ASA is enhanced on PANI electrodes, resulting in thicker films obtained in aqueous media at room temperature. The electrosynthesized film (P(o-ASA)) was characterized by cyclic voltammetry, FTIR and nuclear magnetic resonance. The compensation of P(o-ASA) charge was evaluated using electrochemical quartz crystal microbalance combined with cyclic voltammetry, which showed that the electroneutralization process mainly involves cations. Additionally, copolymers of aniline and o-ASA were electrosynthesized, using a metallic electrode modified with PANI also as a working electrode. The degree of sulfanation of copolymers has been modulated with the proportions of monomers in the electrosynthesis solution. The studies reveal a more important participation of cations in fully sulfonated polyaniline than in partially sulfonated polyaniline.",battery
"Introduction Links between preclinical Alzheimer's disease (AD) and driving difficulty onset would support the use of driving performance as an outcome in primary and secondary prevention trials among older adults (OAs). We examined whether AD biomarkers predicted the onset of driving difficulties among OAs. Methods One hundred four OAs (65+ years) with normal cognition took part in biomarker measurements, a road test, clinical and psychometric batteries, and self-reported their driving habits. Results Higher values of cerebrospinal fluid (CSF) tau/A??42 and phosphorylated tau (ptau181)/A??42 ratios, but not uptake on Pittsburgh compound B amyloid imaging (P = .12), predicted time to a rating of marginal or fail on the driving test using Cox proportional hazards models. Hazards ratios (95% confidence interval) were 5.75 (1.70??19.53), P = .005 for CSF tau/A??42; 6.19 (1.75??21.88), and P = .005 for CSF ptau181/A??42. Discussion Preclinical AD predicted time to receiving a marginal or fail rating on an on-road driving test. Driving performance shows promise as a functional outcome in AD prevention trials.",non-battery
"Given the interest in improving executive functions, the present study examines a promising combination of two training techniques: neurofeedback training (NFT) and working memory training (WMT). NFT targeted increasing the amplitude of individual??s upper Alpha frequency band at the parietal midline scalp location (Pz), and WMT consisted of an established computerized protocol with working memory updating and set-shifting components. Healthy participants (n??=??140) were randomly allocated to five combinations of training, including visual search training used as an active control training for the WMT; all five groups were compared to a sixth silent control group receiving no training. All groups were evaluated before and after training for resting-state electroencephalogram (EEG) and behavioral executive function measures. The participants in the silent control group were unaware of this procedure, and received one of the training protocols only after study has ended. Results demonstrated significant improvement in the practice tasks in all training groups including non-specific influence of NFT on resting-state EEG spectral topography. There was only a near transfer effect (improvement in working memory task) for WMT, which remained significant in the delayed post-test (after 1??month), in comparison to silent control group but not in comparison to active control training group. The NFT??+??WMT combined group showed improved mental rotation ability both in the post-training and in the follow-up evaluations. This improvement, however, did not differ significantly from that in the silent control group. We conclude that the current training protocols, including their combination, have very limited influence on the executive functions that were assessed in this study.
",non-battery
"Six electrolytes were investigated for lithium metal battery applications. The electrolytes were composed of combinations of four different salts (LiPF6, LiB(C2O4)2, LiI and LiN(SO2CF3)2) and three different solvents (PC, DME, and 1,3-dioxolane). All six electrolytes had conductivities >3mScm???1 at temperatures from ???20 to 40??C. Electrochemical impedance spectroscopy (EIS) and linear polarization, both at room temperature and low temperature (???8??C), provided congruent results. The LiI-based electrolyte had the lowest film resistance, while 0.7M LiB(C2O4)2??PC:DME (1:1) had the highest impedance. The presence of 1,3-dioxolane in electrolytes provided lower impedance with LiB(C2O4)2 but higher resistance with LiPF6-based electrolytes. NMR analysis of electrolytes after thermal abuse indicate that LiN(SO2CF3)2-based electrolytes are the most thermally stable. SEM analysis suggests that surface modification and impedance changes are correlated.",battery
" The health of chickens and the welfare of poultry industry are central to the efforts of addressing global food security. Therefore, it is essential to study chicken immunology to maintain and improve its health and to find novel and sustainable solutions. This paper presents a study on investigation of the effect of Scutellaria baicalensis root (SBR) on the immune response of broiler chicken, especially on lymphocytes and heterophils reactivity, regarding their contribution to the development of immunity of the chickens.",non-battery
"The Publisher regrets that this article is an accidental duplication of an article that has already been published in MLBLUE, 138 (2015) 259??261, http://dx.doi.org/10.1016/j.electacta.2014.10.094. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at http://www.elsevier.com/locate/withdrawalpolicy.",battery
"In solid state batteries, lithium dendrites form when the applied current density is higher than a critical value. The critical current density is often reported as 1??2 mA cm???2 at an external pressure of around 10 MPa. In this work, a more advanced mechanical constriction technique is applied on a solid-state battery constructed with Li10GeP2S12 (LGPS) as the electrolyte and a lithium metal/graphite composite as the anode, where the graphite layer was applied to prevent (electro-)chemical reactions between Li metal and LGPS, as well as a short-circuit upon the application of pressure. The decomposition pathway of LGPS at the anode interface is modified by this mechanical constriction design, and the growth of lithium dendrites is inhibited, leading to excellent rate and cycling performances. No short-circuit or lithium dendrite formation is observed for batteries cycled at a current density up to 10 mA cm???2.
",battery
